userName,content
Arifin Saputra,aplikasi bagus mudah mengerti rekomendasi banget ni temen temen buru dowload
Triyono Kanjuruhan,akurat inspiratif
Elfiati Elfi,berita lengkap
famly anisa bilqis,banyak berita sebenernya dibaritakan  berita ulang ulang  
Rahayunityas Putrynas,saya suka beritanya
Sentot Bw,beeitanya up date banget
Rusdy Mawardi,tetap yg terbaik media online
M Umar,mantap beritanya terupdate
dudi bahtiar,media pro pemerintahan    etik jurnalistik kesampingkan  maafkan yg awam dunia jurnalisme
M Aslam,info terbaru
Dandi FU,bjorka gua dukung negri konoha
She Rusdi,fine
Vivo Ashter,ilike
Toeng hin Lo,    
abizar zar,cukup menambah wawasan
Abidu&alina official,lengkap bahan referensi
NFL,judul berita tp isinya sama  gabung mpc log in susah  
Arbain,mantap beritanya lengkap
Ryzki Wiryawan,mau komen aja susah bener
Eko Patrianto,berita usangnya ulang ulang  seleksi klo baca jdi klo baca detikcom bijak
Arief Budiman,bagus berita update nyaa   kadang admin nya suka salah ketik   tp oke lahh   
Komang Mertayasa,beritanya ter up date dipercaya
Sri Wahyu,aktual terpercaya
Gunawan Nata,lagi enak  baca scroll langsung iklan  iklan lazada nya ganggu banget  sampe masuk aplikasi lazada 
Parulian Simamora,dari      pengguna setia logging akun google sekarang gak bisa  harus utamakan member setia bro 
hendrato ramli,berita cepat akurat
Alif Danish,beritanya up too dat
Adam Galuh,banyak iklan    
Muchamad Lutfi,berita demo tgl   sep      turunkan bbm ada   payah
Erfan Eddy,buat pengetahuan terkini  mantaplah detikcom 
Wahyu Agung Nugroho,burukk banyak iklan mengganggu
anindita mikaila,semenjak rubah allo ribet loginnya  kali reset error ada    parah
Urbanus Andreas Nirahua,makin iklan mengganggu dibaca pengulangan  berita ganti judul ambil paragraf  betita sebelumnya     maaf membosankan 
Eko Purwanto,beritanya copas doang media lain cenderung buat lebih menarik detik com edisi      lugas tegas  terpercaya
Ishari Ishari,mantap oke
johnefrata sembiring kembaren,log in susah masuk masuk mulu jdi gua delete aja aplikasi
aual masaid,tman  diperjalan
